Name of Covered Entity,State,Covered Entity Type,Individuals Affected,Breach Submission Date,Type of Breach,Location of Breached Information,Business Associate Present
Hunt Memorial Hospital District,TX,Healthcare Provider,1887,6/29/2018,Unauthorized Access/Disclosure,Email,No
Arkansas Children's Hospital,AR,Healthcare Provider,4521,6/29/2018,Unauthorized Access/Disclosure,Electronic Medical Record,No
State of Alaska Department of Health and Social Services,AK,Health Plan,501,6/28/2018,Hacking/IT Incident,"Desktop Computer, Email",No
"Associated Dermatology & Skin Cancer Clinic of Helena, PC",MT,Healthcare Provider,1254,6/28/2018,Theft,Paper/Films,No
Children's Mercy Hospital,MO,Healthcare Provider,1463,6/27/2018,Hacking/IT Incident,Other,No
San Francisco Department of Public Health,CA,Healthcare Provider,900,6/25/2018,Unauthorized Access/Disclosure,Network Server,Yes
University of Michigan/Michigan Medicine,MI,Healthcare Provider,871,6/25/2018,Theft,Laptop,No
"Progressions Behavioral Health Services, Inc.",PA,Healthcare Provider,1303,6/25/2018,Hacking/IT Incident,Email,No
"InfuSystem, Inc.",MI,Healthcare Provider,3882,6/22/2018,Hacking/IT Incident,Email,No
VA Long Beach Healthcare System,CA,Healthcare Provider,1030,6/22/2018,Unauthorized Access/Disclosure,Paper/Films,No
Family Healthcare of Lake Norman,NC,Healthcare Provider,500,6/19/2018,Hacking/IT Incident,Network Server,No
"Peter J Parker, M.D., Inc.",CA,Healthcare Provider,628,6/19/2018,Unauthorized Access/Disclosure,Electronic Medical Record,Yes
"David S. Ng, O.D.",CA,Healthcare Provider,758,6/16/2018,Theft,Other Portable Electronic Device,No
New Jersey Department of Human Services,NJ,Health Plan,1263,6/15/2018,Unauthorized Access/Disclosure,Paper/Films,No
CHRISTUS Spohn Hospital Corpus Christi-Shoreline,TX,Healthcare Provider,1805,6/15/2018,Theft,Paper/Films,No
Dean Health Plan,WI,Health Plan,1311,6/15/2018,Unauthorized Access/Disclosure,Paper/Films,No
Gwenn S Robinson MD,NM,Healthcare Provider,2500,6/14/2018,Hacking/IT Incident,Desktop Computer,No
"Med Associates, Inc.",NY,Business Associate,276057,6/14/2018,Hacking/IT Incident,Desktop Computer,Yes
Black River Medical Center,MO,Healthcare Provider,13443,6/13/2018,Hacking/IT Incident,Email,No
"WellCare Health Plans, Inc.",FL,Health Plan,1101,6/13/2018,Unauthorized Access/Disclosure,Other,Yes
"HealthEquity, Inc.",UT,Business Associate,16000,6/12/2018,Hacking/IT Incident,Email,Yes
"Denise M. Bowden, LAc",CA,Healthcare Provider,538,6/11/2018,Theft,Desktop Computer,No
Healthland Inc.,MN,Business Associate,614,6/10/2018,Unauthorized Access/Disclosure,Other,Yes
New England Baptist Health,MA,Healthcare Provider,7582,6/8/2018,Unauthorized Access/Disclosure,Email,No
Massac County Surgery Center dba Orthopaedic Institute Surgery Center,IL,Healthcare Provider,2000,6/8/2018,Hacking/IT Incident,Email,No
"RISE Wisconsin, Inc.",WI,Healthcare Provider,3731,6/7/2018,Hacking/IT Incident,Network Server,No
Benefit Outsourcing Solutions,MI,Business Associate,1144,6/7/2018,Unauthorized Access/Disclosure,Network Server,Yes
Terros Incorporated,AZ,Healthcare Provider,1618,6/5/2018,Hacking/IT Incident,Email,No
University of Utah Health,UT,Healthcare Provider,607,6/2/2018,Theft,"Laptop, Other Portable Electronic Device",No
Florida Agency for Persons with Disabilities,FL,Health Plan,1951,6/1/2018,Hacking/IT Incident,Email,No
SimplyWell,TX,Business Associate,597,6/1/2018,Unauthorized Access/Disclosure,Other,Yes
Dignity Health,CA,Healthcare Provider,55947,5/31/2018,Unauthorized Access/Disclosure,Email,Yes
The University of Texas MD Anderson Cancer Center,TX,Healthcare Provider,1266,5/31/2018,Unauthorized Access/Disclosure,Email,No
Dino-Peds,CO,Healthcare Provider,1357,5/30/2018,Unauthorized Access/Disclosure,Electronic Medical Record,No
AFLAC,GA,Health Plan,10396,5/29/2018,Hacking/IT Incident,Email,Yes
Care Partners Hospice and Palliative Care,OR,Healthcare Provider,600,5/25/2018,Hacking/IT Incident,Email,No
The Trustees of Purdue University,IN,Healthcare Provider,1711,5/25/2018,Hacking/IT Incident,Desktop Computer,No
Aultman Hospital,OH,Healthcare Provider,42625,5/25/2018,Hacking/IT Incident,Email,No
BioIQ Inc.,CA,Business Associate,4059,5/25/2018,Unauthorized Access/Disclosure,Email,Yes
MSK Group,TN,Healthcare Provider,566236,5/22/2018,Hacking/IT Incident,Network Server,No
"Muir Medical Group, IPA, Inc.",CA,Business Associate,5485,5/22/2018,Unauthorized Access/Disclosure,Network Server,Yes
"Echo Canyon Healthcare, Incorporated dba Heritage Court Post Acute of Scottsdale",AZ,Healthcare Provider,1765,5/21/2018,Theft,Paper/Films,No
"Elmcroft Senior Living, Inc.",TX,Healthcare Provider,10000,5/21/2018,Hacking/IT Incident,Network Server,No
Holland Eye Surgery and Laser Center,MI,Healthcare Provider,42200,5/18/2018,Hacking/IT Incident,Desktop Computer,No
UT Physicians,TX,Healthcare Provider,2793,5/18/2018,Unauthorized Access/Disclosure,Email,No
Associates in Psychiatry and Psychology,MN,Healthcare Provider,6546,5/18/2018,Hacking/IT Incident,Network Server,No
Hancock County Board of Developmental Disabilities,OH,Healthcare Provider,607,5/17/2018,Unauthorized Access/Disclosure,Paper/Films,No
"LifeBridge Health, Inc",MD,Healthcare Provider,538127,5/15/2018,Hacking/IT Incident,Network Server,No
Highmark Delaware,DE,Business Associate,508,5/14/2018,Unauthorized Access/Disclosure,Paper/Films,Yes
"OrthoWest, Ltd.",OH,Healthcare Provider,2300,5/14/2018,Unauthorized Access/Disclosure,Network Server,Yes
New York City Human Resources Administration/Department of Social Services,NY,Health Plan,2078,5/11/2018,Unauthorized Access/Disclosure,Paper/Films,No
"Capitol Administrators, Inc",CA,Business Associate,1733,5/11/2018,Hacking/IT Incident,Email,Yes
Dignity Health St. Rose Dominican Hospitals - San Martin,NV,Healthcare Provider,1764,5/10/2018,Unauthorized Access/Disclosure,Paper/Films,No
Dignity Health St. Rose Dominican Hospitals - Siena,NV,Healthcare Provider,2098,5/10/2018,Unauthorized Access/Disclosure,Paper/Films,No
Dignity Health St. Rose Dominican Hospitals-DeLIma,NV,Healthcare Provider,2174,5/10/2018,Unauthorized Access/Disclosure,Paper/Films,No
Cambridge Dental Consulting Group,NV,Business Associate,3758,5/9/2018,Unauthorized Access/Disclosure,Other,Yes
Boys Town National Research Hospital,NE,,2182,5/9/2018,Hacking/IT Incident,Email,Yes
"USACS Management Group, Ltd.",OH,Business Associate,15552,5/8/2018,Hacking/IT Incident,Email,Yes
"The Oregon Clinic, P.C. (“The Oregon Clinic”)",OR,Healthcare Provider,64487,5/8/2018,Hacking/IT Incident,Email,No
"Cerebral Palsy Research Foundation of Kansas, Inc.",KS,Healthcare Provider,8300,5/8/2018,Unauthorized Access/Disclosure,Network Server,No
Baptist Health,AR,Healthcare Provider,3453,5/7/2018,Unauthorized Access/Disclosure,Network Server,No
"Baystate Family Dental, Inc.",MA,Healthcare Provider,500,5/4/2018,Theft,Paper/Films,No
Florida Hospital ,FL,Healthcare Provider,12724,5/3/2018,Hacking/IT Incident,Network Server,No
"Worldwide Insurance Services, LLC",PA,Business Associate,1692,4/30/2018,Hacking/IT Incident,Email,Yes
"Complete Family Medicine, LLC",NE,Healthcare Provider,1331,4/30/2018,Theft,"Laptop, Paper/Films",No
Medical Center Ophthalmology Associates,TX,Healthcare Provider,3017,4/30/2018,Unauthorized Access/Disclosure,Email,No
Walgreen Co.,IL,Healthcare Provider,703,4/27/2018,Theft,Paper/Films,No
"Knoxville Heart Group, Inc.",TN,Healthcare Provider,15995,4/27/2018,Hacking/IT Incident,Email,No
Billings Clinic,MT,Healthcare Provider,949,4/27/2018,Hacking/IT Incident,Email,No
MedWatch LLC,FL,Business Associate,40621,4/27/2018,Unauthorized Access/Disclosure,Network Server,Yes
"Eye Care Surgery Center, Inc. ",LA,Healthcare Provider,2553,4/27/2018,Theft,Laptop,No
"Tiger Vision, LLC",LA,Healthcare Provider,2553,4/27/2018,Theft,Laptop,No
"Carolina Digestive Health Associates, PA",NC,Healthcare Provider,10988,4/26/2018,Unauthorized Access/Disclosure,Electronic Medical Record,No
CareFirst Blue Cross Blue Shield,MD,Health Plan,6200,4/26/2018,Hacking/IT Incident,Email,No
Illinois Department of Healthcare and Family Services,IL,Health Plan,8000,4/26/2018,Unauthorized Access/Disclosure,Paper/Films,No
Scenic Bluffs Health Center Inc,WI,Healthcare Provider,2889,4/24/2018,Hacking/IT Incident,Email,No
"Capital Digestive Care, Inc.",MD,Healthcare Provider,17639,4/23/2018,Unauthorized Access/Disclosure,Network Server,Yes
Riverside Medical Center,IL,Healthcare Provider,501,4/20/2018,Theft,"Desktop Computer, Other",No
Capital District Physicians’ Health Plan,NY,Health Plan,839,4/20/2018,Unauthorized Access/Disclosure,Paper/Films,Yes
Gruber Dental,NJ,Healthcare Provider,4624,4/20/2018,Hacking/IT Incident,Email,No
Center for Orthopaedic Specialists - Providence Medical Institute (PMI),CA,Healthcare Provider,81550,4/18/2018,Hacking/IT Incident,Network Server,No
Kansas Department for Aging and Disability Services,KS,Healthcare Provider,11000,4/17/2018,Unauthorized Access/Disclosure,Desktop Computer,No
"Inogen, Inc.",CA,Healthcare Provider,29528,4/17/2018,Hacking/IT Incident,Email,No
"MAXIMUS, Inc. / Business Ink, Co.",VA,Business Associate,3029,4/17/2018,Unauthorized Access/Disclosure,Paper/Films,Yes
Iowa Health System d/b/a UnityPoint Health,IA,Business Associate,16429,4/16/2018,Hacking/IT Incident,Email,Yes
"Athens Heart Center, P.C.",GA,Healthcare Provider,12158,4/16/2018,Hacking/IT Incident,Electronic Medical Record,No
Cornerstone Foot & Ankle,NJ,Healthcare Provider,533,4/16/2018,Unauthorized Access/Disclosure,Email,No
Texas Health Physicians Group,TX,Healthcare Provider,3808,4/13/2018,Hacking/IT Incident,Email,No
California Physicians Service d/b/a Blue Shield of California,CA,Health Plan,1717,4/13/2018,Unauthorized Access/Disclosure,Email,No
"ATI Holdings, LLC and its subsidiaries",IL,Business Associate,1776,4/13/2018,Hacking/IT Incident,Email,Yes
"MorshedEye, PLLC",KY,Healthcare Provider,1100,4/13/2018,Unauthorized Access/Disclosure,Email,No
"Polk County Health Services, Inc",IA,Health Plan,1071,4/12/2018,Unauthorized Access/Disclosure,Email,No
Atchison Hospital Association,KS,Healthcare Provider,667,4/11/2018,Hacking/IT Incident,Network Server,Yes
Henry Ford Health System,MI,Healthcare Provider,1658,4/10/2018,Loss,Other Portable Electronic Device,No
UnitedHealth Group,MN,Health Plan,896,4/10/2018,Unauthorized Access/Disclosure,Paper/Films,No
"ViaTech Publishing Solutions, Inc.",MN,Health Plan,2431,4/10/2018,Unauthorized Access/Disclosure,Paper/Films,No
Integrated Rehab Consultants,IL,Healthcare Provider,4292,4/9/2018,Unauthorized Access/Disclosure,Network Server,Yes
CA Department of Developmental Services,CA,Health Plan,582174,4/6/2018,Theft,Paper/Films,No
Walgreen Co.,IL,Healthcare Provider,910,4/6/2018,Theft,Other Portable Electronic Device,No
Chesapeake Regional Medical Center,VA,Healthcare Provider,2100,4/6/2018,Theft,Other Portable Electronic Device,No
"Diagnostic Radiology & Imaging, LLC",NC,Healthcare Provider,800,4/5/2018,Hacking/IT Incident,Email,No
Wisconsin Department of Health Services,WI,Health Plan,779,4/3/2018,Theft,Laptop,Yes
Fondren Orthopedic Group L.L.P.,TX,Healthcare Provider,11552,4/2/2018,Unauthorized Access/Disclosure,Paper/Films,Yes
West Kendall Baptist Hospital,FL,Healthcare Provider,1480,4/2/2018,Unauthorized Access/Disclosure,Other,No
QUALITY-CARE PHARMACY,CA,Healthcare Provider,2000,4/2/2018,Theft,"Desktop Computer, Other, Other Portable Electronic Device, Paper/Films",No
"Sonoma County Indian Health Project, Inc",CA,Healthcare Provider,662,3/30/2018,Unauthorized Access/Disclosure,"Desktop Computer, Email",No
Guardian Pharmacy of Jacksonville,FL,Healthcare Provider,11521,3/30/2018,Hacking/IT Incident,Email,No
Children’s National Medical Center ,DC,Healthcare Provider,722,3/30/2018,Theft,Laptop,No
"Milligan Chiropractic Group, Inc. d/b/a Del Mar Chiropractic Sports Group",CA,Healthcare Provider,2640,3/30/2018,Theft,Laptop,No
Middletown Medical P.C.,NY,Healthcare Provider,63551,3/29/2018,Unauthorized Access/Disclosure,Electronic Medical Record,No
New York City Health and Hospitals Corporation - Harlem Hospital,NY,Healthcare Provider,595,3/29/2018,Theft,Laptop,No
Cambridge Health Alliance,MA,Healthcare Provider,2280,3/28/2018,Hacking/IT Incident,Other,No
Walmart Inc.,AR,Healthcare Provider,741,3/26/2018,Unauthorized Access/Disclosure,"Email, Other",No
Mississippi State Department of Health,MS,Healthcare Provider,30799,3/26/2018,Unauthorized Access/Disclosure,Email,No
VA Palo Alto Health Care System,CA,Healthcare Provider,1600,3/26/2018,Unauthorized Access/Disclosure,Paper/Films,No
City of Houston Medical Plan,TX,Health Plan,34637,3/22/2018,Theft,Laptop,No
"National Mentor Healthcare, LLC.",MA,Healthcare Provider,1015,3/21/2018,Loss,Other Portable Electronic Device,Yes
"Mentor ABI, LLC",MA,Healthcare Provider,994,3/21/2018,Loss,Other Portable Electronic Device,Yes
"Center for Comprehensive Services, Inc.",MA,Healthcare Provider,1176,3/21/2018,Loss,Other Portable Electronic Device,Yes
"CareMeridian, LLC",MA,Healthcare Provider,1922,3/21/2018,Loss,Other Portable Electronic Device,Yes
"Prestera Center for Mental Health Services, Inc.",WV,Healthcare Provider,670,3/20/2018,Hacking/IT Incident,Email,No
"Primary Health Care, Inc.",IA,Healthcare Provider,10313,3/16/2018,Hacking/IT Incident,Email,No
North Texas Medical Center ,TX,Healthcare Provider,3350,3/15/2018,Unauthorized Access/Disclosure,Laptop,No
UnitedHealth Group Single Affiliated Covered Entity ,MN,Health Plan,1755,3/15/2018,Unauthorized Access/Disclosure,Paper/Films,No
Saint Francis Hospital,GA,Healthcare Provider,1412,3/14/2018,Improper Disposal,Other,No
"Serene Sedation, LLC",MD,Healthcare Provider,5207,3/14/2018,Hacking/IT Incident,Network Server,No
Special Agents Mutual Benefit Association,MD,Health Plan,13942,3/13/2018,Unauthorized Access/Disclosure,Paper/Films,No
"ATI Holdings, LLC and its subsidiaries ",IL,Healthcare Provider,35136,3/12/2018,Hacking/IT Incident,Email,No
"RoxSan Pharmacy, Inc. ",CA,Healthcare Provider,1049,3/12/2018,Unauthorized Access/Disclosure,Email,No
Barnes-Jewish St. Peters Hospital,MO,Healthcare Provider,15046,3/12/2018,Unauthorized Access/Disclosure,Network Server,No
Barnes-Jewish Hospital,MO,Healthcare Provider,18436,3/12/2018,Unauthorized Access/Disclosure,Network Server,No
The Arc of Erie County,NY,Healthcare Provider,3751,3/9/2018,Unauthorized Access/Disclosure,Network Server,No
inSite Digestive Health Care,CA,Healthcare Provider,1424,3/9/2018,Theft,Paper/Films,No
"Front Range Dermatology Associates, P.C.",CO,Healthcare Provider,1070,3/7/2018,Unauthorized Access/Disclosure,"Electronic Medical Record, Email, Laptop",No
John J. Pershing VA Medical Center,MO,Healthcare Provider,1843,3/7/2018,Unauthorized Access/Disclosure,Paper/Films,No
"Esther V. Rettig, M.D., P.A.",KS,Healthcare Provider,12974,3/1/2018,Hacking/IT Incident,"Desktop Computer, Electronic Medical Record, Network Server",No
Florida Agency for Persons with Disabilities,FL,Health Plan,63627,3/1/2018,Hacking/IT Incident,Email,No
Memorial Hospital at Gulfport,MS,Healthcare Provider,1512,2/28/2018,Unauthorized Access/Disclosure,Email,No
St. Peter's Ambulatory Surgery Center LLC - d/b/a St. Peter's Surgery & Endoscopy Center,NY,Healthcare Provider,134512,2/28/2018,Hacking/IT Incident,Network Server,No
"Union Lake Supermarket, LLC",NJ,Healthcare Provider,9956,2/28/2018,Improper Disposal,Other Portable Electronic Device,No
Artesia General Hospital,NM,Healthcare Provider,864,2/27/2018,Hacking/IT Incident,Network Server,Yes
FastHealth Corporation,AL,Business Associate,18192,2/27/2018,Hacking/IT Incident,Network Server,Yes
Rhode Island Executive Office of Health and Human Services ,RI,Health Plan,5600,2/27/2018,Unauthorized Access/Disclosure,Other,No
Rhode Island Executive Office of Health and Human Services,RI,Health Plan,1100,2/27/2018,Unauthorized Access/Disclosure,Paper/Films,No
California College of Arts,CA,Health Plan,623,2/26/2018,Theft,Laptop,No
Center for Sports Medicine and Orthopedics ,TN,Healthcare Provider,800,2/26/2018,Unauthorized Access/Disclosure,Paper/Films,Yes
"Walmart, Inc.",AR,Healthcare Provider,735,2/22/2018,Unauthorized Access/Disclosure,Electronic Medical Record,No
ConnectiCare,CT,Health Plan,1834,2/21/2018,Unauthorized Access/Disclosure,Paper/Films,Yes
Missouri Dept. of Mental Health,MO,Healthcare Provider,1000,2/21/2018,Unauthorized Access/Disclosure,Other,No
University of Virginia Medical Center,VA,Healthcare Provider,1882,2/21/2018,Hacking/IT Incident,"Desktop Computer, Laptop",No
Flexible Benefit Service Corporation,IL,Business Associate,5123,2/16/2018,Hacking/IT Incident,Email,Yes
"Jemison Internal Medicine, PC",AL,Health Plan,6550,2/16/2018,Hacking/IT Incident,Network Server,No
"Tufts Associated Health Maintenance Organization, Inc.",MA,Health Plan,70320,2/16/2018,Unauthorized Access/Disclosure,Paper/Films,Yes
"Partners HealthCare System, Inc.",MA,Healthcare Provider,2450,2/5/2018,Hacking/IT Incident,"Desktop Computer, Network Server",No
CarePlus Health Plan [case #HU1800066],KY,Health Plan,11248,2/5/2018,Unauthorized Access/Disclosure,Paper/Films,No
City of Detroit,MI,Healthcare Provider,544,2/5/2018,Loss,Other Portable Electronic Device,No
Ron's Pharmacy Services ,CA,Healthcare Provider,6781,2/2/2018,Hacking/IT Incident,Email,No
Eastern Maine Medical Center,ME,Healthcare Provider,660,2/2/2018,Theft,Other Portable Electronic Device,Yes
"Triple-S Advantage, Inc. ",,Health Plan,36305,2/2/2018,Unauthorized Access/Disclosure,Paper/Films,No
"Coastal Cape Fear Eye Associates, P.A.",NC,Healthcare Provider,925,2/1/2018,Hacking/IT Incident,"Desktop Computer, Network Server",No
Forrest General Hospital,MS,Healthcare Provider,1670,2/1/2018,Hacking/IT Incident,Email,Yes
Children's Mercy Hospital,MO,Healthcare Provider,65930,1/31/2018,Hacking/IT Incident,Email,No
"QuadMed, LLC (Whirlpool)",WI,Healthcare Provider,4549,1/29/2018,Unauthorized Access/Disclosure,Electronic Medical Record,No
"Steven Yang, D.D.S., INC.",CA,Healthcare Provider,3202,1/26/2018,Theft,Laptop,No
Decatur County General Hospital,TN,Healthcare Provider,24000,1/26/2018,Hacking/IT Incident,Network Server,No
"Rocky Mountain Women's Health Center, Inc.",UT,Healthcare Provider,1123,1/25/2018,Improper Disposal,Paper/Films,No
"Zachary E. Adkins, DDS",NM,Healthcare Provider,3677,1/25/2018,Theft,Other Portable Electronic Device,No
Central States Southeast and Southwest Areas Health and Welfare Fund,IL,Health Plan,634,1/23/2018,Unauthorized Access/Disclosure,Paper/Films,No
"RGH Enterprises, Inc.",OH,Healthcare Provider,4586,1/22/2018,Unauthorized Access/Disclosure,Paper/Films,No
"Robert Smith DMD, PC",TN,Healthcare Provider,1500,1/22/2018,Hacking/IT Incident,Network Server,No
"Westminster Ingleside King Farm Presbyterian Retirement Communities, Inc.",MD,Healthcare Provider,5228,1/19/2018,Hacking/IT Incident,"Desktop Computer, Network Server",No
The Pediatric Endocrinology and Diabetes Specialists,NV,Healthcare Provider,1021,1/18/2018,Hacking/IT Incident,"Desktop Computer, Electronic Medical Record, Laptop",No
Gillette Medical Imaging,WY,Healthcare Provider,4476,1/18/2018,Unauthorized Access/Disclosure,Paper/Films,Yes
High Plains Surgical Associates,WY,Healthcare Provider,607,1/15/2018,Unauthorized Access/Disclosure,Paper/Films,Yes
Western Washington Medical Group Inc.,WA,Healthcare Provider,842,1/12/2018,Improper Disposal,Paper/Films,No
"Pedes Orange County, Inc.",CA,Healthcare Provider,917,1/12/2018,Unauthorized Access/Disclosure,Electronic Medical Record,No
Onco360 and CareMed Specialty Pharmacy ,KY,Healthcare Provider,53173,1/12/2018,Hacking/IT Incident,Email,No
Alicia Ann Oswald,CA,Healthcare Provider,800,1/9/2018,Unauthorized Access/Disclosure,Email,No
Palomar Health (Palomar Medical Center (Escondido),CA,Healthcare Provider,1309,1/8/2018,Unauthorized Access/Disclosure,Electronic Medical Record,No
"Charles River Medical Associates, pc",MA,Healthcare Provider,9387,1/8/2018,Loss,Other Portable Electronic Device,No
"DJO, LLC",CA,Healthcare Provider,1203,1/6/2018,Loss,Paper/Films,Yes
Agency for Health Care Administration,FL,Health Plan,30000,1/5/2018,Hacking/IT Incident,Email,No
Oklahoma State University ,OK,Healthcare Provider,279865,1/5/2018,Hacking/IT Incident,Network Server,No
Penn Medicine,PA,Healthcare Provider,1050,1/2/2018,Theft,Laptop,No
Coplin Health Systems,WV,Healthcare Provider,43000,12/29/2017,Theft,Laptop,No
SSM Health,MO,Healthcare Provider,29579,12/28/2017,Unauthorized Access/Disclosure,Electronic Medical Record,No
"Miracle-Ear, Inc. and Amplifon (USA), Inc.",MN,Business Associate,554,12/28/2017,Hacking/IT Incident,Email,Yes
"Longs Peak Family Practice, P.C.",CO,Healthcare Provider,16238,12/27/2017,Hacking/IT Incident,"Desktop Computer, Network Server",No
Colorado Department of Human Services,CO,Healthcare Provider,639,12/27/2017,Hacking/IT Incident,Desktop Computer,No
UnitedHealthcare Community Plan of Pennsylvania ,PA,Business Associate,614,12/27/2017,Unauthorized Access/Disclosure,Paper/Films,Yes
Blue Cross Blue Shield of Massachusetts,MA,Health Plan,1843,12/26/2017,Unauthorized Access/Disclosure,Email,No
"Kaiser Foundation Health Plan, Inc.",CA,Health Plan,638,12/22/2017,Unauthorized Access/Disclosure,Paper/Films,No
SAY San Diego,CA,Healthcare Provider,1272,12/22/2017,Loss,Paper/Films,No
Molina Healthcare,FL,Health Plan,1380,12/21/2017,Unauthorized Access/Disclosure,Other,No
"BEE Reno Dental, LLC",NV,Healthcare Provider,3898,12/20/2017,Hacking/IT Incident,"Desktop Computer, Network Server",No
"Absolute Dental Hygiene, LLC",OR,Healthcare Provider,871,12/20/2017,Hacking/IT Incident,"Desktop Computer, Electronic Medical Record, Network Server",No
Dignity Health Medical Foundation,CA,Healthcare Provider,2189,12/19/2017,Unauthorized Access/Disclosure,Paper/Films,Yes
"Sheldon M. Golden O.D., Optometric Corporation",CA,Healthcare Provider,7583,12/19/2017,Hacking/IT Incident,Network Server,No
MidMichigan Medical Center-Alpena,MI,Healthcare Provider,1900,12/19/2017,Loss,Paper/Films,No
Emory Healthcare  ,GA,Healthcare Provider,24000,12/15/2017,Unauthorized Access/Disclosure,Email,No
Chilton Medical Center,NJ,Healthcare Provider,4600,12/15/2017,Theft,Other Portable Electronic Device,No
NYU School of Medicine - Pediatric Surgery Associates,NY,Healthcare Provider,2158,12/15/2017,Improper Disposal,Paper/Films,No
"Compassion Care Hospice Las Vegas, LLC",NV,Healthcare Provider,1128,12/14/2017,Hacking/IT Incident,Network Server,No
Memphis Pathology Laboratory d/b/a American Esoteric Laboratory ,TN,Healthcare Provider,500,12/14/2017,Theft,Laptop,No
"Kaiser Foundation Health Plan, Inc.",CA,Health Plan,4389,12/14/2017,Hacking/IT Incident,Email,No
Midland County Hospital District d/b/a Midland Memorial Hospital  ,TX,Healthcare Provider,1160,12/12/2017,Hacking/IT Incident,Email,No
Pharmacy Innovations,NY,Healthcare Provider,1205,12/12/2017,Hacking/IT Incident,Network Server,No
"University of South Florida, USF Health Care",FL,Healthcare Provider,1279,12/11/2017,Unauthorized Access/Disclosure,Paper/Films,No
"Franciscan Physician Network of Illinois and Specialty Physicians of Illinois, LLC (formerly known as WellGroup Health Partners, LLC)",IL,Healthcare Provider,22000,12/9/2017,Loss,Paper/Films,No
Central Iowa Hospital Corporation d/b/a Blank Children's Hospital,IA,Healthcare Provider,557,12/8/2017,Unauthorized Access/Disclosure,Paper/Films,No
UNC Health Care System,NC,Healthcare Provider,27113,12/8/2017,Theft,Desktop Computer,No
Mount Carmel Health System,OH,Healthcare Provider,836,12/8/2017,Unauthorized Access/Disclosure,Email,No
"Columbus Surgery Center, LLC ",NE,Healthcare Provider,7221,12/7/2017,Hacking/IT Incident,Network Server,No
"Eye Physicians, P.C.",NE,Healthcare Provider,2620,12/7/2017,Hacking/IT Incident,Network Server,No
Austin Manual Therapy Associates,TX,Healthcare Provider,1750,12/6/2017,Hacking/IT Incident,"Laptop, Network Server",No
Bronson Healthcare Group,MI,Healthcare Provider,8256,12/5/2017,Hacking/IT Incident,Email,No
Eclectic Chiropractic Rehab,MI,Healthcare Provider,650,12/5/2017,Unauthorized Access/Disclosure,Email,No
Oklahoma Department of Human Services,OK,Health Plan,47000,12/5/2017,Hacking/IT Incident,Network Server,Yes
Golden Rule Insurance Company,IN,Health Plan,9305,12/4/2017,Unauthorized Access/Disclosure,Network Server,Yes
Sinai Health System ,IL,Healthcare Provider,11347,12/1/2017,Hacking/IT Incident,Email,No
Henry Ford Health System,MI,Healthcare Provider,43563,12/1/2017,Hacking/IT Incident,Email,No
Washington Health System Greene,PA,Healthcare Provider,4145,12/1/2017,Theft,Other Portable Electronic Device,No
"CCRM Minneapolis, P.C.",MN,Healthcare Provider,3280,12/1/2017,Hacking/IT Incident,Network Server,No
Hackensack Sleep and Pulmonary Center,NJ,Healthcare Provider,16474,11/28/2017,Hacking/IT Incident,Network Server,No
Alere Toxicology,MA,Healthcare Provider,2146,11/28/2017,Unauthorized Access/Disclosure,Paper/Films,No
University of Alabama at Birmingham,AL,Healthcare Provider,652,11/27/2017,Loss,Other Portable Electronic Device,No
"Pulmonary Specialists of Louisville, PSC",KY,Healthcare Provider,32000,11/27/2017,Hacking/IT Incident,Electronic Medical Record,No
Sutter Valley Medical Foundation d/b/a Sutter Medical Foundation,CA,Healthcare Provider,1303,11/22/2017,Theft,"Laptop, Paper/Films",No
Baptist Health Louisville,KY,Healthcare Provider,880,11/21/2017,Hacking/IT Incident,Email,No
Humana Inc ,KY,Health Plan,5764,11/21/2017,Unauthorized Access/Disclosure,Network Server,Yes
Dallas County Mental Health Mental Retardation Center dba Metrocare Services,TX,Healthcare Provider,120259,11/17/2017,Hacking/IT Incident,Email,No
Clinical Pathology Laboratories Southeast,FL,Healthcare Provider,500,11/17/2017,Theft,Laptop,No
"The Medical College of Wisconsin, Inc.",WI,Healthcare Provider,9500,11/17/2017,Hacking/IT Incident,Email,No
Rocky Mountain Health Care Services,CO,Healthcare Provider,909,11/16/2017,Theft,Laptop,No
Washington State Department of Social and Health Services,WA,Healthcare Provider,515,11/16/2017,Unauthorized Access/Disclosure,Email,No
UPMC Susquehanna,PA,Healthcare Provider,1208,11/15/2017,Hacking/IT Incident,Email,No
"Sports Medicine & Rehabilitation Therapy, Inc.",MA,Healthcare Provider,8800,11/14/2017,Hacking/IT Incident,Network Server,No
Family & Cosmetic Dentistry of the Rockies,CO,Healthcare Provider,1850,11/13/2017,Improper Disposal,Paper/Films,Yes
The Lowell General Hospital,MA,Healthcare Provider,769,11/10/2017,Unauthorized Access/Disclosure,Electronic Medical Record,No
"Otolaryngology Associates of Central New Jersey, P.C.",NJ,Healthcare Provider,1551,11/10/2017,Theft,Paper/Films,No
The Center For Health Care Services ,TX,Healthcare Provider,501,11/8/2017,Theft,Paper/Films,No
Aetna Inc.,CT,Health Plan,1600,11/8/2017,Unauthorized Access/Disclosure,Paper/Films,No
Indiana University Health,IN,Healthcare Provider,1399,11/3/2017,Improper Disposal,Paper/Films,No
Valley Family Medicine,VA,Healthcare Provider,8450,11/3/2017,Unauthorized Access/Disclosure,Paper/Films,No
